Number,Cultivar,Rep,Isolate,Score
21,IAC Alvorada,2,2D,6
21,IAC Alvorada,3,2D,5
21,IAC Alvorada,4,2D,4
21,IAC Alvorada,5,2D,6
21,IAC Alvorada,6,2D,6
21,IAC Alvorada,7,2D,5
22,IAC Diplomata,1,2D,4
22,IAC Diplomata,2,2D,7
22,IAC Diplomata,3,2D,6
22,IAC Diplomata,4,2D,4
22,IAC Diplomata,5,2D,4
22,IAC Diplomata,6,2D,7
22,IAC Diplomata,7,2D,4
23,IAC Kaburé,1,2D,4
23,IAC Kaburé,2,2D,4
23,IAC Kaburé,3,2D,2
23,IAC Kaburé,4,2D,2
23,IAC Kaburé,5,2D,2
23,IAC Kaburé,6,2D,3
23,IAC Kaburé,7,2D,NA
1,Pérola,1,2B,10
1,Pérola,2,2B,8
1,Pérola,3,2B,9
1,Pérola,4,2B,7
1,Pérola,5,2B,8
1,Pérola,6,2B,10
1,Pérola,7,2B,10
2,BRS Pontal,1,2B,10
2,BRS Pontal,2,2B,8
2,BRS Pontal,3,2B,8
2,BRS Pontal,4,2B,8
2,BRS Pontal,5,2B,7
2,BRS Pontal,6,2B,8
2,BRS Pontal,7,2B,7
3,BRS Cometa,1,2B,8
3,BRS Cometa,2,2B,11
3,BRS Cometa,3,2B,11
3,BRS Cometa,4,2B,10
3,BRS Cometa,5,2B,10
3,BRS Cometa,6,2B,10
3,BRS Cometa,7,2B,10
4,BRS Requinte,1,2B,7
4,BRS Requinte,2,2B,10
4,BRS Requinte,3,2B,11
4,BRS Requinte,4,2B,11
4,BRS Requinte,5,2B,10
4,BRS Requinte,6,2B,10
4,BRS Requinte,7,2B,10
5,IPR Gralha,1,2B,10
5,IPR Gralha,2,2B,11
5,IPR Gralha,3,2B,13
5,IPR Gralha,4,2B,13
5,IPR Gralha,5,2B,10
5,IPR Gralha,6,2B,13
5,IPR Gralha,7,2B,13
6,IPR Curió,1,2B,8
6,IPR Curió,2,2B,10
6,IPR Curió,3,2B,NA
6,IPR Curió,4,2B,NA
6,IPR Curió,5,2B,NA
6,IPR Curió,6,2B,NA
6,IPR Curió,7,2B,NA
7,IPR Uirapuru,1,2B,13
7,IPR Uirapuru,2,2B,NA
7,IPR Uirapuru,3,2B,NA
7,IPR Uirapuru,4,2B,NA
7,IPR Uirapuru,5,2B,NA
7,IPR Uirapuru,6,2B,NA
7,IPR Uirapuru,7,2B,NA
8,IPR Tuiuiu,1,2B,12
8,IPR Tuiuiu,2,2B,11
8,IPR Tuiuiu,3,2B,12
8,IPR Tuiuiu,4,2B,11
8,IPR Tuiuiu,5,2B,10
8,IPR Tuiuiu,6,2B,12
8,IPR Tuiuiu,7,2B,11
9,IPR Andorinha,1,2B,9
9,IPR Andorinha,2,2B,8
9,IPR Andorinha,3,2B,8
9,IPR Andorinha,4,2B,NA
9,IPR Andorinha,5,2B,NA
9,IPR Andorinha,6,2B,NA
9,IPR Andorinha,7,2B,NA
10,IPR Bem-te-vi,1,2B,12
10,IPR Bem-te-vi,2,2B,11
10,IPR Bem-te-vi,3,2B,9
10,IPR Bem-te-vi,4,2B,11
10,IPR Bem-te-vi,5,2B,11
10,IPR Bem-te-vi,6,2B,NA
10,IPR Bem-te-vi,7,2B,NA
11,IPR Tangará,1,2B,10
11,IPR Tangará,2,2B,5
11,IPR Tangará,3,2B,9
11,IPR Tangará,4,2B,7
11,IPR Tangará,5,2B,10
11,IPR Tangará,6,2B,9
11,IPR Tangará,7,2B,4
12,IPR 139,1,2B,12
12,IPR 139,2,2B,9
12,IPR 139,3,2B,10
12,IPR 139,4,2B,13
12,IPR 139,5,2B,10
12,IPR 139,6,2B,11
12,IPR 139,7,2B,11
13,IPR Campos Gerais,1,2B,7
13,IPR Campos Gerais,2,2B,9
13,IPR Campos Gerais,3,2B,11
13,IPR Campos Gerais,4,2B,10
13,IPR Campos Gerais,5,2B,NA
13,IPR Campos Gerais,6,2B,NA
13,IPR Campos Gerais,7,2B,NA
14,IPR Quero-quero,1,2B,10
14,IPR Quero-quero,2,2B,12
14,IPR Quero-quero,3,2B,4
14,IPR Quero-quero,4,2B,11
14,IPR Quero-quero,5,2B,NA
14,IPR Quero-quero,6,2B,NA
14,IPR Quero-quero,7,2B,NA
15,IAPAR 81,1,2B,10
15,IAPAR 81,2,2B,10
15,IAPAR 81,3,2B,10
15,IAPAR 81,4,2B,11
15,IAPAR 81,5,2B,10
15,IAPAR 81,6,2B,10
15,IAPAR 81,7,2B,13
16,IPR Juriti,1,2B,11
16,IPR Juriti,2,2B,10
16,IPR Juriti,3,2B,10
16,IPR Juriti,4,2B,12
16,IPR Juriti,5,2B,10
16,IPR Juriti,6,2B,10
16,IPR Juriti,7,2B,NA
17,IPR Chopina,1,2B,11
17,IPR Chopina,2,2B,10
17,IPR Chopina,3,2B,10
17,IPR Chopina,4,2B,11
17,IPR Chopina,5,2B,11
17,IPR Chopina,6,2B,11
17,IPR Chopina,7,2B,8
18,IAC Imperador,1,2B,10
18,IAC Imperador,2,2B,7
18,IAC Imperador,3,2B,7
18,IAC Imperador,4,2B,8
18,IAC Imperador,5,2B,8
18,IAC Imperador,6,2B,6
18,IAC Imperador,7,2B,10
19,IAC Formoso,1,2B,12
19,IAC Formoso,2,2B,11
19,IAC Formoso,3,2B,10
19,IAC Formoso,4,2B,10
19,IAC Formoso,5,2B,13
19,IAC Formoso,6,2B,13
19,IAC Formoso,7,2B,8
20,IAC Una,1,2B,10
20,IAC Una,2,2B,10
20,IAC Una,3,2B,8
20,IAC Una,4,2B,10
20,IAC Una,5,2B,10
20,IAC Una,6,2B,2
20,IAC Una,7,2B,11
21,IAC Alvorada,1,2B,10
21,IAC Alvorada,2,2B,10
21,IAC Alvorada,3,2B,10
21,IAC Alvorada,4,2B,8
21,IAC Alvorada,5,2B,10
21,IAC Alvorada,6,2B,10
21,IAC Alvorada,7,2B,9
22,IAC Diplomata,1,2B,10
22,IAC Diplomata,2,2B,8
22,IAC Diplomata,3,2B,9
22,IAC Diplomata,4,2B,10
22,IAC Diplomata,5,2B,12
22,IAC Diplomata,6,2B,10
22,IAC Diplomata,7,2B,10
23,IAC Kaburé,1,2B,11
23,IAC Kaburé,2,2B,11
23,IAC Kaburé,3,2B,10
23,IAC Kaburé,4,2B,8
23,IAC Kaburé,5,2B,10
23,IAC Kaburé,6,2B,13
23,IAC Kaburé,7,2B,8
